2   0   0   9.621   22.77   0
3   0.002   0.001   9.641   22.89   0.003
4   0   0.002   9.777   23.18   0.002
5   0.002   0.004   9.773   23.55   0.006
6   0.001   0.012   9.938   24.26   0.013
7   0.002   0.023   10.22   26.15   0.025
8   0.006   0.083   10.82   32.3   0.089
9   0.009   0.309   11.81   48.23   0.318
10   0.032   1.502   11.34   66.35   1.534
11   0.059   5.01   12.36   93.37   5.069
12   0.679   18.19   46.57   142.7   18.87
13   1.755   46.42   42   280.2   48.17
14   6.241   117.4   66.07   586.6   123.7
15   16.22   298.3   82.41   1264   314.5
