2   0.002   0.001   9.652   22.8   0.003
3   0.001   0   9.93   23.18   0.001
4   0.006   0.002   10.89   24.18   0.008
5   0.075   0.002   10.98   24.14   0.077
6   0.074   0   11   24.16   0.074
7   0.132   0.002   10.89   24.05   0.134
8   0.24   0.002   11.71   24.86   0.242
9   0.91   0.003   14.89   28.04   0.913
10   5.259   0.001   22.89   36.17   5.26
11   44.47   0.005   46.95   60.23   44.47
12   1.135   0.005   11.48   24.77   1.14
13   1.153   0.003   11.51   24.79   1.156
14   2.351   0.006   12.95   26.36   2.357
15   2.544   0.004   15.65   29.06   2.548
16   3.394   0.004   21.15   34.56   3.398
17   7.1   0.007   40.48   53.89   7.107
18   8.638   0.014   63.1   76.51   8.652
19   21.27   0.016   104.3   117.7   21.29
20   82.14   0.053   190.4   203.9   82.19
21   311.1   0.051   362.5   376.2   311.1
22   1197   0.007   675   688.7   1197
