2   0   0   9.664   22.82   0
3   0   0.001   9.641   22.91   0.001
4   0.001   0   9.777   23.05   0.001
5   0   0.002   9.895   23.17   0.002
6   0.001   0.002   9.926   23.33   0.003
7   0.002   0.004   10.07   23.51   0.006
8   0.001   0.006   10.22   23.75   0.007
9   0   0.007   10.38   24.03   0.007
10   0.003   0.006   10.52   24.3   0.009
11   0.004   0.009   10.68   24.52   0.013
12   0.003   0.01   10.96   24.89   0.013
13   0.003   0.013   11.11   25.21   0.016
14   0.002   0.016   11.29   25.68   0.018
15   0.007   0.022   11.57   25.94   0.029
16   0.006   0.024   11.84   26.12   0.03
17   0.008   0.027   12.1   26.61   0.035
18   0.008   0.03   12.38   26.64   0.038
19   0.009   0.031   12.66   26.96   0.04
20   0.011   0.034   12.98   27.27   0.045
21   0.012   0.037   13.26   27.55   0.049
22   0.011   0.042   13.46   27.76   0.053
23   0.012   0.044   13.77   27.98   0.056
24   0.014   0.049   14.19   28.25   0.063
25   0.018   0.052   14.52   28.53   0.07
26   0.019   0.054   14.87   28.82   0.073
27   0.02   0.057   15.38   29.04   0.077
28   0.026   0.065   15.74   29.02   0.091
29   0.032   0.061   16.16   29.44   0.093
30   0.033   0.069   16.49   29.77   0.102
31   0.032   0.074   16.66   30.03   0.106
32   0.036   0.081   16.94   30.22   0.117
33   0.039   0.086   17.17   30.54   0.125
34   0.041   0.095   17.63   30.91   0.136
35   0.043   0.103   17.98   39.53   0.146
36   0.047   0.109   18.28   40.17   0.156
37   0.052   0.118   18.5   40.79   0.17
38   0.053   0.123   18.89   41.47   0.176
39   0.052   0.155   19.08   42.09   0.207
40   0.061   0.153   19.34   41.84   0.214
