1   0.001   0   9.512   22.66   0.001
2   0.001   0   9.512   22.66   0.001
3   0.001   0   9.512   22.66   0.001
4   0   0   9.613   22.77   0
5   0.001   0   9.668   22.82   0.001
6   0.001   0.001   9.641   22.9   0.002
7   0.001   0.002   9.641   23.07   0.003
8   0.001   0.003   9.797   23.2   0.004
9   0   0.01   9.789   23.52   0.01
10   0   0.024   9.781   23.55   0.024
11   0.001   0.045   9.777   23.62   0.046
12   0.002   0.11   9.77   23.71   0.112
13   0.003   0.236   9.949   23.88   0.239
14   0.004   0.498   9.949   23.97   0.502
15   0.003   1.057   10.07   24.21   1.06
16   0.002   2.148   10.09   24.34   2.15
17   0.003   4.602   10.09   24.54   4.605
18   0.003   9.567   10.23   24.62   9.57
19   0.003   16.72   10.37   24.75   16.73
20   0.004   41.97   10.5   25.14   41.98
21   0.005   87.03   10.58   25.25   87.04
22   0.004   181.1   10.49   25.31   181.1
23   0.004   377.8   10.59   25.35   377.8
24   0.006   822.8   10.72   25.81   822.8
25   0.007   1708   10.89   25.87   1708
