2   0.001   0   9.652   22.8   0.001
3   0.003   0   9.934   23.18   0.003
4   0.007   0.004   10.89   24.45   0.011
5   0.076   0.009   10.99   24.14   0.085
6   0.08   0.009   11.01   24.16   0.089
7   0.16   0.015   10.91   24.46   0.175
8   0.292   0.033   11.79   26.11   0.325
9   1.1   0.087   14.9   28.05   1.187
10   6.137   0.057   23.03   36.31   6.194
11   47.33   0.205   46.98   60.26   47.53
12   1.38   0.228   11.51   30.37   1.608
13   1.427   0.13   11.61   29.08   1.557
14   2.889   0.816   12.99   33.73   3.705
15   3.117   0.324   15.66   29.35   3.441
16   4.111   0.542   21.2   34.61   4.653
17   8.577   4.747   40.54   53.95   13.32
18   10.14   2.116   63.17   76.58   12.26
19   24.2   2.487   104.3   117.8   26.68
20   85.49   7.502   190.4   203.9   92.99
21   314.7   36.65   362.6   376.3   351.4
22   1269   15.06   675.2   688.9   1284
